country,site,log,lat,MAT,MAP,duration,clay,Ph,SOC,crop_rotation,treatment,N_rate,ch4,sd_t
South korea,Gyeonggi-do,127.04,37.22,12.9,1289,S,,5.4,12.76102088,SR,CF,90,118.98,
South korea,Jinju,128.12,35.11,13.1,1513,S,,6.2,14.4,SR,CF,110,285.375,7.8
South korea,Jinju,128.12,35.11,13.1,1513,S,,6.2,14.4,SR,CF,110,208.575,3.9
South korea,Jinju,128.12,35.11,13.1,1513,S,,6.2,14.4,SR,CF,110,272.55,9.15
South korea,Jinju,128.12,35.11,13.1,1513,S,,6.2,14.4,SR,CF,110,218.025,16.875
South korea,Jinju,128.12,35.11,13.1,1513,M,,6.2,14.4,SR,CF,110,213.45,29.925
South korea,Jinju,128.12,35.11,13.1,1513,M,,6.2,14.4,SR,CF,110,289.05,16.95
South korea,Jinju,128.1,35.15,13.1,1513,S,,6.6,15.5,SR,CF,110,362,
China,Suzhou,120.55,31.5,15,1063,L,18.6,7.22,16.02,RU,IF,240,42.825,5.1675
China,Suzhou,120.55,31.5,15,1063,L,18.6,7.22,16.02,RU,IF,240,41.5275,5.04
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,CF,100,24.165,
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,IF,100,18.495,
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,IF,100,14.76,
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,IF,100,12.66,
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,IF,100,11.3175,
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,IF,100,10.5225,
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,CF,100,25.5525,
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,IF,100,17.7225,
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,IF,100,14.5575,
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,IF,100,12.525,
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,IF,100,11.2575,
India,Cuttack,85.94,20.45,27.6,1500,S,25.1,6.9,4.9,DR,IF,100,10.2825,
Indonesia,,111,-7.55,24.9,2285,S,,,,DR,CF,245,372.75,
USA,Biggs,-121.73,39.46,16.3,606,S,45,5.3,10.6,SR,CF,180,122,25.3
USA,Biggs,-121.73,39.46,16.3,606,S,45,5.3,10.6,SR,IF,180,53,12.6
USA,Biggs,-121.73,39.46,16.3,606,S,45,5.3,10.6,SR,IF,180,17,2.1
USA,Biggs,-121.73,39.46,16.3,606,S,45,5.3,10.6,SR,CF,180,145,19.7
USA,Biggs,-121.73,39.46,16.3,606,S,45,5.3,10.6,SR,IF,180,51.7,17.6
USA,Biggs,-121.73,39.46,16.3,606,S,45,5.3,10.6,SR,IF,180,18.4,6.27
China,Changsha,112.9,29.87,17,1500,S,,7.1,28.53828306,DR,CF,100,117,6
China,Guanghan,104.17,31.05,16.3,890,L,16,6,20.1,RU,CF,240,18.1,10.6
China,Guanghan,104.17,31.05,16.3,890,L,16,6,20.1,RU,CF,150,3.07,2.05
China,Guanghan,104.17,31.05,16.3,890,L,16,6,20.1,RU,CF,150,38.6,12.6
China,Yingtan,116.92,28.33,17.6,1741,S,,5.2,,DR,IF,120,103.8075,19.0575
China,Yingtan,116.92,28.33,17.6,1741,S,,5.2,,DR,IF,120,79.9875,12.9675
China,Yingtan,116.92,28.33,17.6,1741,S,,5.2,,DR,IF,120,103.035,25.2675
China,Yingtan,116.92,28.33,17.6,1741,S,,5.2,,DR,IF,120,123.7575,14.715
China,Yingtan,116.92,28.33,17.6,1741,S,,5.2,,DR,IF,115,118.305,17.46
China,Yingtan,116.92,28.33,17.6,1741,S,,5.2,,DR,IF,90,101.8125,2.9775
China,Yingtan,116.92,28.33,17.6,1741,S,,5.2,,DR,IF,120,103.8075,19.0575
China,Yingtan,116.92,28.33,17.6,1741,S,,5.2,,DR,IF,120,103.035,25.2675
China,Nanjing,118.86,32.16,15.6,1100,S,26.1,6.2,19.4,RU,CF,200,20.7525,0.1725
China,Nanjing,118.86,32.16,15.6,1100,S,26.1,6.2,19.4,RU,CF,200,33.1425,0.2775
China,Nanjing,118.86,32.16,15.6,1100,S,26.1,6.2,19.4,RU,CF,200,14.97,0.195
China,Nanjing,118.86,32.16,15.6,1100,S,26.1,6.2,19.4,RU,CF,200,17.49,0.3825
China,Suzhou,120.71,31.56,15.5,1038,S,33,7.35,20.3,RU,CF,252,307,17
Vietnam,,106.13,19.98,23.5,1750,S,,5.9,4,DR,CF,55,569,
Vietnam,,106.13,19.98,23.5,1750,S,,5.9,4,DR,CF,110,692,
Vietnam,,106.22,20.06,23.5,1750,S,,4.8,9,DR,CF,55,507,
Vietnam,,106.22,20.06,23.5,1750,S,,4.8,9,DR,CF,110,676,
India,New Delhi,77.2,28.67,26,750,S,21,8.04,4.2,RU,IF,120,20.25,
Thailand,,100.61,14.37,27,1200,S,64,6,9.5,DR,CF,68,54.5925,
Thailand,,100.61,14.37,27,1200,S,64,6,9.5,DR,IF,68,45.72,
Thailand,,100.61,14.37,27,1200,S,64,6,9.5,DR,CF,68,24.885,
Thailand,,100.61,14.37,27,1200,S,64,6,9.5,DR,IF,68,25.875,
Spain,,-0.63,40.78,17,550,S,,8.1,12.81902552,SR,CF,50,-166.5,17.535
Spain,,-0.63,40.78,17,550,S,,8.1,12.81902552,SR,CF,200,-93.75,11.8575
Spain,,-0.63,40.78,17,550,S,,8.1,12.81902552,SR,CF,50,195.75,18.8625
Spain,,-0.63,40.78,17,550,S,,8.1,12.81902552,SR,CF,200,459.75,32.7825
Spain,,-0.04,41.76,14.6,350,S,,8.5,5.858468677,SR,CF,180,183.75,22.185
Japan,Ibaraki,135.3,34.03,16,1306,S,,6,44.1,SR,IF,90,48.825,
Japan,Ibaraki,135.3,34.03,16,1306,S,,6,44.1,SR,CF,90,103.275,
Japan,Ibaraki,135.3,34.03,16,1306,S,,6,44.1,SR,IF,90,48.375,
Japan,Ibaraki,135.3,34.03,16,1306,S,,6,44.1,SR,CF,90,189,
Japan,Ibaraki,135.3,34.03,16,1306,S,,6,44.1,SR,CF,135,30.675,
Japan,Ibaraki,135.3,34.03,16,1306,S,,6,44.1,SR,CF,135,56.85,
Japan,Ibaraki,135.3,34.03,16,1306,S,,6,44.1,SR,CF,90,44.025,
Japan,Ibaraki,135.3,34.03,16,1306,S,,6,44.1,SR,CF,45,58.95,
India,Cuttack,85.92,20.42,27.6,1500,S,28,6.8,4.8,RU,CF,100,41.85,
India,Cuttack,85.92,20.42,27.6,1500,S,28,6.8,4.8,RU,CF,100,38.325,
India,Cuttack,85.92,20.42,27.6,1500,S,28,6.8,4.8,RU,CF,100,46.425,
India,Cuttack,85.92,20.42,27.6,1500,S,28,6.8,4.8,RU,CF,100,40.8,
Japan,Hokkaido,141.82,43.23,7.3,1171,S,33.8,5.78,28.5,SR,CF,80,40.4,18.5
India,Thanjavur District,79.5,11,18.2,1292,S,25.3,7.5,19.6,DR,IF,150,45,6
